ID,Consent,Gender,Age,Video,Predictability,Controllability,Comments
1,I consent to partcipating in the study,Non-binary,32,1,6,2,"I would say 2 and 4 seemed hard to control, but if the controller was going for robotic ballroom dancing I feel they hit the mark pretty well. The difficulty of control I feel would come down to the complexity of the controls and the skills of the one controlling it. 
I set it as closer to difficult as I have little to know intimate knowledge of code or tech so for me personally I would probably struggle more than someone more apt in the field. "
1,I consent to partcipating in the study,Non-binary,32,2,3,5,"I would say 2 and 4 seemed hard to control, but if the controller was going for robotic ballroom dancing I feel they hit the mark pretty well. The difficulty of control I feel would come down to the complexity of the controls and the skills of the one controlling it. 
I set it as closer to difficult as I have little to know intimate knowledge of code or tech so for me personally I would probably struggle more than someone more apt in the field. "
1,I consent to partcipating in the study,Non-binary,32,3,5,2,"I would say 2 and 4 seemed hard to control, but if the controller was going for robotic ballroom dancing I feel they hit the mark pretty well. The difficulty of control I feel would come down to the complexity of the controls and the skills of the one controlling it. 
I set it as closer to difficult as I have little to know intimate knowledge of code or tech so for me personally I would probably struggle more than someone more apt in the field. "
1,I consent to partcipating in the study,Non-binary,32,4,1,6,"I would say 2 and 4 seemed hard to control, but if the controller was going for robotic ballroom dancing I feel they hit the mark pretty well. The difficulty of control I feel would come down to the complexity of the controls and the skills of the one controlling it. 
I set it as closer to difficult as I have little to know intimate knowledge of code or tech so for me personally I would probably struggle more than someone more apt in the field. "
2,I consent to partcipating in the study,Female,26,1,6,2,
2,I consent to partcipating in the study,Female,26,2,2,6,
2,I consent to partcipating in the study,Female,26,3,3,5,
2,I consent to partcipating in the study,Female,26,4,1,7,
3,I consent to partcipating in the study,Male,24,1,7,6,"Taking into consideration the varying levels of ""virtual intelligence"" being displayed in the videos, an objective view regarding the erratic behavior of some of the robots displayed can be viewed as concerning, creating the bias of robots being prone to error, thus bringing into question the decision-making capabilities of the robots' algorithms. This view stemming from the errors of but a few errants can perpetuate and bring into question the large-scale usability of robots."
3,I consent to partcipating in the study,Male,24,2,5,4,"Taking into consideration the varying levels of ""virtual intelligence"" being displayed in the videos, an objective view regarding the erratic behavior of some of the robots displayed can be viewed as concerning, creating the bias of robots being prone to error, thus bringing into question the decision-making capabilities of the robots' algorithms. This view stemming from the errors of but a few errants can perpetuate and bring into question the large-scale usability of robots."
3,I consent to partcipating in the study,Male,24,3,7,6,"Taking into consideration the varying levels of ""virtual intelligence"" being displayed in the videos, an objective view regarding the erratic behavior of some of the robots displayed can be viewed as concerning, creating the bias of robots being prone to error, thus bringing into question the decision-making capabilities of the robots' algorithms. This view stemming from the errors of but a few errants can perpetuate and bring into question the large-scale usability of robots."
3,I consent to partcipating in the study,Male,24,4,4,4,"Taking into consideration the varying levels of ""virtual intelligence"" being displayed in the videos, an objective view regarding the erratic behavior of some of the robots displayed can be viewed as concerning, creating the bias of robots being prone to error, thus bringing into question the decision-making capabilities of the robots' algorithms. This view stemming from the errors of but a few errants can perpetuate and bring into question the large-scale usability of robots."
4,I consent to partcipating in the study,Female,18,1,5,3,
4,I consent to partcipating in the study,Female,18,2,5,3,
4,I consent to partcipating in the study,Female,18,3,6,3,
4,I consent to partcipating in the study,Female,18,4,4,3,
5,I consent to partcipating in the study,Female,27,1,6,4,
5,I consent to partcipating in the study,Female,27,2,1,6,
5,I consent to partcipating in the study,Female,27,3,6,6,
5,I consent to partcipating in the study,Female,27,4,3,5,
6,I consent to partcipating in the study,Female,49,1,7,1,
6,I consent to partcipating in the study,Female,49,2,1,4,
6,I consent to partcipating in the study,Female,49,3,7,1,
6,I consent to partcipating in the study,Female,49,4,4,2,
